City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint-Joseph,-21.3667,55.6167,80.6,69,0,4.61,RE,1616557702
Sibolga,1.7427,98.7792,77.02,87,100,2.04,ID,1616557703
Sambava,-14.2667,50.1667,75.79,90,63,3.87,MG,1616557630
Homer,59.6425,-151.5483,30.2,64,1,8.05,US,1616557703
San Quintín,30.4833,-115.95,55.45,76,52,13.31,MX,1616557704
Adrar,20.5022,-10.0711,68.97,15,0,14.54,MR,1616557625
Eyl,7.9803,49.8164,75.45,67,33,8.03,SO,1616557704
Mastic Beach,40.7668,-72.8521,48.99,81,1,6.38,US,1616557705
Nizwá,22.9333,57.5333,76.37,25,0,3.22,OM,1616557705
La Tuque,47.4334,-72.7824,35.6,64,100,1.14,CA,1616557705
Tautira,-17.7333,-149.15,87.8,62,20,2.3,PF,1616557706
Yangi Marg`ilon,40.4272,71.7189,51.8,71,4,5.01,UZ,1616557173
Constitución,-35.3333,-72.4167,56.21,89,3,10.18,CL,1616557707
Kaeo,-35.1,173.7833,62.67,82,73,2.86,NZ,1616557707
Galatiní,40.3167,21.55,30.2,59,6,8.05,GR,1616557708
Itarema,-2.9248,-39.9167,76.08,87,44,6.64,BR,1616557708
Jesús María,-30.9815,-64.0942,62.01,94,0,4.61,AR,1616557708
Bubaque,11.2833,-15.8333,76.77,66,7,14.7,GW,1616557709
Bontang,0.1333,117.5,83.12,71,87,7.72,ID,1616557709
Libertador General San Martín,-23.8064,-64.7876,69.01,95,100,1.01,AR,1616557710
Hailākāndi,24.6833,92.5667,93.6,15,0,3.0,IN,1616557710
Eunice,30.4944,-92.4176,62.6,88,90,8.05,US,1616557698
Rāghogarh,24.45,77.2,83.66,28,0,7.92,IN,1616557711
Huarmey,-10.0681,-78.1522,71.65,81,100,8.37,PE,1616557711
Mount Gambier,-37.8333,140.7667,66.2,88,75,13.8,AU,1616557711
Ixtapa,20.7,-105.2,71.01,63,43,2.24,MX,1616557712
Gladstone,-23.85,151.25,77.0,78,75,17.27,AU,1616557712
Sylacauga,33.1732,-86.2516,60.8,82,40,3.44,US,1616557712
Nicoya,10.1483,-85.452,77.0,73,20,5.75,CR,1616557713
Vila Franca do Campo,37.7167,-25.4333,53.6,87,20,13.8,PT,1616557713
São João da Barra,-21.6403,-41.0511,73.65,89,0,4.07,BR,1616557714
Irbeyskoye,55.6428,95.4522,31.91,79,93,7.45,RU,1616557714
Hofn,64.2539,-15.2082,34.52,47,9,7.23,IS,1616557715
Svetlaya,46.5389,138.3297,37.02,45,0,7.25,RU,1616557715
Dom Pedrito,-30.9828,-54.6731,64.45,95,89,5.26,BR,1616557715
Ambulu,-8.345,113.6058,85.35,68,66,4.83,ID,1616557716
Oodweyne,9.4092,45.064,66.07,31,0,4.23,SO,1616557716
Avesta,60.1455,16.1679,39.99,85,59,8.99,SE,1616557717
Kimbe,-5.5502,150.1429,85.35,70,99,5.37,PG,1616557671
Stromness,58.965,-3.296,41.0,75,9,23.02,GB,1616557717
Sturgeon Bay,44.8342,-87.377,44.6,81,90,10.36,US,1616557718
San Jose,37.3394,-121.895,61.0,31,1,17.27,US,1616557495
Punta Alta,-38.8759,-62.0736,70.88,50,68,15.84,AR,1616557578
Mareeba,-17.0,145.4333,91.99,66,69,10.36,AU,1616557718
Den Helder,52.9599,4.7593,43.0,93,10,10.36,NL,1616557719
Calatayud,41.3535,-1.6432,42.8,100,61,2.3,ES,1616557719
Sokoto,13.0609,5.239,81.36,17,93,8.57,NG,1616557719
Lamu,-2.2717,40.902,80.6,83,40,3.44,KE,1616557720
Ulaangom,49.9811,92.0667,19.58,84,100,1.41,MN,1616557720
Mae Sai,20.4335,99.8762,80.6,69,1,3.44,TH,1616557721
Sungai Besar,3.6746,100.9867,84.2,79,40,2.3,MY,1616557721
Saurimo,-9.6608,20.3916,63.72,95,72,2.33,AO,1616557722
Mayumba,-3.432,10.6554,78.48,84,88,3.33,GA,1616557722
Bhawana,31.5692,72.649,68.32,53,1,8.66,PK,1616557723
Estelle,29.8458,-90.1067,63.0,100,90,10.36,US,1616557723
Ust-Maya,60.4167,134.5333,-1.25,79,100,7.92,RU,1616557724
Taksimo,56.3444,114.8794,25.84,78,100,1.83,RU,1616557724
Westerland,54.9079,8.3033,42.01,89,18,5.99,DE,1616557725
Mazagão,-0.115,-51.2894,78.8,94,90,3.44,BR,1616557725
Campo Maior,-4.8278,-42.1686,71.91,96,82,3.6,BR,1616557725
Sulina,45.1559,29.6536,32.56,66,2,14.2,RO,1616557726
Harindānga,22.0383,88.3214,86.0,66,40,5.75,IN,1616557726
Manjacaze,-24.7117,33.8828,65.89,88,30,4.36,MZ,1616557727
College,64.8569,-147.8028,17.6,53,75,4.61,US,1616557727
Egvekinot,66.3167,-179.1667,14.45,93,100,7.49,RU,1616557727
Riohacha,11.5444,-72.9072,76.82,81,58,9.6,CO,1616557726
Skibbereen,51.55,-9.2667,37.4,93,40,6.91,IE,1616557728
Henties Bay,-22.116,14.2845,63.0,94,12,5.01,NA,1616557728
Nanortalik,60.1432,-45.2371,21.7,71,67,8.95,GL,1616557729
Departamento de Maldonado,-34.6667,-54.9167,66.2,88,0,9.22,UY,1616557729
Belmonte,-15.8631,-38.8828,73.4,88,20,4.74,BR,1616557729
Nynäshamn,58.9034,17.9479,42.01,52,17,16.42,SE,1616557730
Melville,40.7934,-73.4151,48.2,87,1,4.61,US,1616557730
Sitka,57.0531,-135.33,42.8,87,90,6.91,US,1616557731
Waddān,29.1614,16.139,46.71,58,0,10.71,LY,1616557731
Tateyama,34.9833,139.8667,66.2,59,20,16.11,JP,1616557731
Yambio,4.5721,28.3955,68.05,87,100,2.53,SS,1616557732
Wajir,1.7471,40.0573,78.8,73,90,9.22,KE,1616557732
Tiarei,-17.5333,-149.3333,87.8,62,20,2.3,PF,1616557733
Yeppoon,-23.1333,150.7333,91.4,55,40,8.05,AU,1616557733
Ambilobe,-13.2,49.05,74.98,92,13,1.88,MG,1616557734
Puerto Nariño,-3.7703,-70.3831,73.4,100,75,2.3,CO,1616557734
Creel,27.75,-107.6333,34.79,33,0,12.44,MX,1616557734
Yanam,16.7333,82.2167,84.2,65,40,3.44,IN,1616557735
Zlobin,45.2924,14.6541,44.6,45,0,3.44,HR,1616557735
Acapulco de Juárez,16.8634,-99.8901,74.98,62,0,5.88,MX,1616557736
Mazamet,43.49,2.373,39.2,81,0,2.3,FR,1616557736
Marsá Maţrūḩ,31.3525,27.2453,55.65,60,0,24.27,EG,1616557737
Dunedin,-45.8742,170.5036,57.99,73,100,3.0,NZ,1616557737
Marysville,48.0518,-122.1771,48.0,76,90,3.44,US,1616557552
Yenagoa,4.9247,6.2642,75.31,93,100,3.29,NG,1616557737
Forssa,60.8146,23.6215,32.0,89,99,1.99,FI,1616557738
Byron Bay,-28.65,153.6167,86.0,54,40,17.27,AU,1616557569
Takoradze,4.8845,-1.7554,79.2,84,100,8.57,GH,1616557738
Haines Junction,60.7522,-137.5108,24.8,30,100,8.05,CA,1616557739
Natal,-5.795,-35.2094,77.0,88,20,4.61,BR,1616557452
Mar del Plata,-38.0023,-57.5575,66.0,94,0,6.91,AR,1616557739
Atherton,53.5237,-2.4935,46.99,80,100,5.55,GB,1616557740
Alice Springs,-23.7,133.8833,87.01,65,75,5.75,AU,1616557740
Vostok,46.4856,135.8833,32.32,64,30,1.25,RU,1616557740
Najrān,17.4924,44.1277,60.8,20,0,5.75,SA,1616557741
Olafsvik,64.8945,-23.7142,34.3,61,100,19.39,IS,1616557741
Nishihara,26.1842,127.7558,71.6,64,90,11.5,JP,1616557742
Uzhur,55.3036,89.8339,30.2,95,100,10.65,RU,1616557742
Ust'-Barguzin,53.45,108.9833,32.76,94,100,11.81,RU,1616557742
Micomeseng,2.1462,10.6164,69.22,99,99,1.63,GQ,1616557743
Qasigiannguit,68.8193,-51.1922,-5.8,65,75,11.5,GL,1616557743
Pandan,14.0453,124.1694,84.29,66,62,13.51,PH,1616557743
Kayerkan,69.3497,87.7602,9.05,91,100,14.32,RU,1616557744
Waverley,-25.7023,28.2591,63.0,94,98,5.75,ZA,1616557744
Ferme-Neuve,46.7001,-75.4493,41.0,52,100,1.81,CA,1616557744
Langsa,4.4683,97.9683,87.3,58,87,3.18,ID,1616557745
Tegul'det,57.3064,88.1667,28.9,85,100,8.39,RU,1616557708
Dehlorān,32.6941,47.2679,75.45,37,100,13.11,IR,1616557745
Lagos,6.5833,3.75,78.98,85,100,5.19,NG,1616557470
Verkhnevilyuysk,63.4453,120.3167,2.88,85,100,1.39,RU,1616557746
Bakchar,57.0186,82.0711,26.06,95,100,7.63,RU,1616557746
Ilām,26.9167,87.9167,81.48,16,16,6.71,NP,1616557746
Yuzhnyy,53.2542,83.6936,28.4,86,75,29.08,RU,1616557747
Tavda,58.0425,65.2726,27.97,91,86,8.95,RU,1616557747
Batesville,35.7698,-91.641,62.6,51,1,6.91,US,1616557637
Laas,46.6166,10.7002,35.01,69,0,9.22,IT,1616557748
Kamina,-8.7386,24.9906,63.73,96,100,3.65,CD,1616557748
Xiaoweizhai,26.1903,107.5125,66.36,57,0,5.48,CN,1616557748
Werda,-25.2667,23.2833,64.02,92,100,7.72,BW,1616557749
Campbell River,50.0163,-125.2446,43.0,93,90,3.44,CA,1616557749
Glens Falls,43.3095,-73.644,44.01,48,1,3.44,US,1616557655
Whyalla,-33.0333,137.5833,71.6,56,0,11.5,AU,1616557750
Conceição do Araguaia,-8.2578,-49.2647,72.75,93,100,1.45,BR,1616557750
Shar,49.5886,81.0453,26.49,80,80,16.98,KZ,1616557751
Vestmanna,62.1564,-7.1664,39.2,81,40,19.57,FO,1616557751
Khovd,48.0056,91.6419,45.68,15,100,1.7,MN,1616557751
Derzhavīnsk,51.1,66.3167,18.14,94,100,11.72,KZ,1616557752
Pasni,25.2631,63.471,75.58,65,1,1.97,PK,1616557653
Balkanabat,39.5108,54.3671,71.44,27,100,8.93,TM,1616557752
Philadelphia,39.9523,-75.1638,52.0,76,40,6.91,US,1616557604
Alta Floresta,-9.8756,-56.0861,75.2,100,0,2.19,BR,1616557752
Tigzirt,36.8886,4.1198,50.97,63,0,5.28,DZ,1616557753
Cuamba,-14.8031,36.5372,65.5,97,40,3.36,MZ,1616557753
Monrovia,6.3005,-10.7969,77.0,94,40,10.18,LR,1616557754
Esperance,-33.8667,121.9,64.4,52,90,2.3,AU,1616557754
Batagay,67.6333,134.6333,-8.19,84,100,3.98,RU,1616557755
Skovorodino,53.9833,123.9167,26.73,78,99,2.91,RU,1616557755
Nakskov,54.8373,11.1284,42.01,84,1,4.0,DK,1616557756
San Angelo,31.4638,-100.437,61.0,47,1,9.22,US,1616557715
Hearst,49.6835,-83.6665,41.0,70,100,3.44,CA,1616557757
Belém,-1.4558,-48.5044,77.0,94,40,4.61,BR,1616557757
Padang,-0.9492,100.3543,84.2,74,40,2.3,ID,1616557757
Wahiawā,21.5028,-158.0236,75.0,88,90,6.91,US,1616557758
Andros Town,24.7,-77.7667,71.6,78,20,7.78,BS,1616557758
Assiniboia,49.6334,-105.9845,26.6,80,88,4.61,CA,1616557758
Rafai,4.95,23.9167,68.09,91,89,1.63,CF,1616557759
Taree,-31.9,152.4667,82.0,47,33,17.27,AU,1616557759
Picota,-6.9197,-76.3304,71.69,99,100,1.36,PE,1616557760
Novooleksiyivka,46.2269,34.6428,29.39,74,31,10.25,UA,1616557761
Pacific Grove,36.6177,-121.9166,54.0,76,1,8.05,US,1616557539
Gemünden am Main,50.05,9.7,34.0,91,0,1.01,DE,1616557762
Brenham,30.1669,-96.3977,60.8,67,1,8.19,US,1616557762
Laguna,38.421,-121.4238,60.8,21,1,12.66,US,1616557763
Riyadh,24.6877,46.7219,75.2,14,0,6.91,SA,1616557680
Nelson Bay,-32.7167,152.15,82.0,47,40,24.16,AU,1616557763
Salinópolis,-0.6136,-47.3561,77.22,87,99,9.78,BR,1616557751
Tuy Hoa,13.0833,109.3,75.09,89,100,7.74,VN,1616557764
Antalaha,-14.9003,50.2788,76.78,83,41,3.22,MG,1616557764
Ceres,37.5949,-120.9577,60.8,20,1,17.27,US,1616557633
Gold Coast,-28.0,153.4333,89.01,48,8,12.66,AU,1616557615
Paphos,34.7667,32.4167,59.0,67,75,24.16,CY,1616557765
Awjilah,29.1081,21.2869,53.42,52,2,19.53,LY,1616557766
Marabba,12.35,32.1833,88.48,19,79,2.95,SD,1616557766
Korla,41.7597,86.1469,52.05,31,100,5.97,CN,1616557632
Samarai,-10.6167,150.6667,85.71,70,96,13.91,PG,1616557767
Tilichiki,60.4667,166.1,16.18,70,42,13.62,RU,1616557767
Hervey Bay,-25.2986,152.8535,82.0,85,17,4.0,AU,1616557767
Marabu,4.4148,114.0089,84.2,84,40,4.61,MY,1616557768
Jardim,-21.4803,-56.1381,73.15,72,16,1.74,BR,1616557768
Channel-Port aux Basques,47.5702,-59.1367,35.22,85,63,4.7,CA,1616557769
Nara,34.6851,135.8049,68.0,48,40,3.44,JP,1616557599
Talara,-4.5772,-81.2719,73.67,83,100,9.86,PE,1616557769
Krasnyy Klyuch,55.3863,56.6529,28.81,96,100,9.31,RU,1616557769
Pangkalanbuun,-2.6833,111.6167,92.86,48,82,2.1,ID,1616557770
Esim,4.8699,-2.2405,79.43,84,100,10.78,GH,1616557770
Redlands,34.0556,-117.1825,61.0,39,20,8.05,US,1616557771
Sun City West,33.662,-112.3413,57.2,62,40,10.36,US,1616557771
Sarakhs,36.5449,61.1577,62.6,42,100,6.91,IR,1616557772
Kamaishi,39.2667,141.8833,59.0,36,40,9.22,JP,1616557772
Kununurra,-15.7667,128.7333,93.2,62,40,2.3,AU,1616557773
Mount Isa,-20.7333,139.5,82.4,61,90,12.66,AU,1616557773
Tommot,58.9564,126.2925,10.44,79,100,6.98,RU,1616557773
Necochea,-38.5473,-58.7368,60.01,81,3,5.99,AR,1616557774
Ayna,-12.65,-73.9167,57.79,92,95,1.43,PE,1616557774
Sandviken,60.6167,16.7667,41.0,78,69,11.01,SE,1616557774
Majene,-3.5403,118.9707,85.75,67,68,5.17,ID,1616557774
Yulara,-25.2406,130.9889,82.4,47,0,8.05,AU,1616557775
Wagar,16.1525,36.2032,84.47,24,1,6.73,SD,1616557775
Natchez,31.5604,-91.4032,62.6,88,90,11.5,US,1616557775
Pechenga,69.5259,31.1703,28.4,74,0,17.27,RU,1616557776
Termoli,41.9888,14.9895,46.44,64,51,17.65,IT,1616557776
Montepuez,-13.1256,38.9997,68.54,98,99,4.72,MZ,1616557776
Atambua,-9.1061,124.8925,82.02,74,61,4.16,ID,1616557777
Balgazyn,51.0,95.2,37.24,67,68,4.45,RU,1616557777
Beringovskiy,63.05,179.3167,28.31,85,45,6.13,RU,1616557694
